First _Name,Last_Name,Company,Mobile,Country,Job_Title,Industry,Company_Size,Last_Activity_Days,Web_Engagement_Score
Defective Lead 151,Lead151,Company 401,9876543210,IND,VP Sales,,1000,,70
Defective Lead 152,Lead152,Company 212,+91 98765 43210,US,CTO,,200,1,90
Defective Lead 153,Lead153,Company 1753,+44 7700 900123,USA,Manager,,,180,30
Defective Lead 154,Lead154,Company 707,,,Intern,IT,500,90,0
Defective Lead 155,Lead155,Company 1726,0091-9876543210,U.K,,IT,200,180,0
Defective Lead 156,Lead156,Company 1297,(415) 555-2671,IN,,,,15,
Defective Lead 157,Lead157,Company 1423,+44 7700 900123,U.K,Director,IT,,,10
Defective Lead 158,Lead158,Company 1990,+44 7700 900123,UK,CTO,Finance,1000,7,70
Defective Lead 159,Lead159,Company 932,9876543210,India,Director,,200,1,
Defective Lead 160,Lead160,Company 623,+91 98765 43210,US,CTO,Healthcare,20,3,10
Defective Lead 161,Lead161,Company 1771,4155552671,India,CTO,Finance,,1,0
Defective Lead 162,Lead162,Company 1558,,United States,,Finance,,3,5
Defective Lead 163,Lead163,Company 80,,UK,Intern,Healthcare,1000,1,5
Defective Lead 164,Lead164,Company 964,(415) 555-2671,UK,CTO,IT,500,3,0
Defective Lead 165,Lead165,Company 1509,+44 7700 900123,IN,,Finance,,15,5
Defective Lead 166,Lead166,Company 957,(415) 555-2671,US,CEO,Finance,500,1,5
Defective Lead 167,Lead167,Company 716,9876543210,U.K,CEO,IT,20,30,0
Defective Lead 168,Lead168,Company 1624,+44 7700 900123,India,,Finance,200,15,
Defective Lead 169,Lead169,Company 1499,0091-9876543210,IND,Director,,20,30,10
Defective Lead 170,Lead170,Company 119,4155552671,44,VP Sales,IT,,90,10
Defective Lead 171,Lead171,Company 1139,0044 7700 900123,IN,VP Sales,Manufacturing,200,7,30
Defective Lead 172,Lead172,Company 82,+44 7700 900123,,,Healthcare,,7,30
Defective Lead 173,Lead173,Company 859,(415) 555-2671,UK,VP Sales,Healthcare,,90,5
Defective Lead 174,Lead174,Company 1021,9876543210,India,CEO,Manufacturing,1000,30,10
Defective Lead 175,Lead175,Company 59,,IN,,Healthcare,500,1,5
Defective Lead 176,Lead176,Company 1683,,US,,IT,20,15,70
Defective Lead 177,Lead177,Company 429,0044 7700 900123,United States,VP Sales,IT,500,30,0
Defective Lead 178,Lead178,Company 176,,,VP Sales,Healthcare,,90,30
Defective Lead 179,Lead179,Company 773,4155552671,,VP Sales,Finance,50,180,90
Defective Lead 180,Lead180,Company 286,(415) 555-2671,U.K,Manager,Healthcare,50,1,5
Defective Lead 181,Lead181,Company 199,(415) 555-2671,UK,,,,7,
Defective Lead 182,Lead182,Company 1051,,IN,VP Sales,Healthcare,,,30
Defective Lead 183,Lead183,Company 91,4155552671,91,Intern,Finance,20,30,30
Defective Lead 184,Lead184,Company 289,9876543210,United States,Director,,,1,
Defective Lead 185,Lead185,Company 1056,(415) 555-2671,US,,Manufacturing,500,30,10
Defective Lead 186,Lead186,Company 174,(415) 555-2671,U.K,Intern,IT,5,90,10
Defective Lead 187,Lead187,Company 1886,0091-9876543210,91,,IT,1000,90,5
Defective Lead 188,Lead188,Company 1966,(415) 555-2671,IN,Manager,Healthcare,1000,1,70
Defective Lead 189,Lead189,Company 609,,US,Intern,Healthcare,50,7,90
Defective Lead 190,Lead190,Company 1912,+91 98765 43210,USA,,IT,,30,10
Defective Lead 191,Lead191,Company 1493,,44,CEO,Manufacturing,,3,
Defective Lead 192,Lead192,Company 898,4155552671,44,VP Sales,Healthcare,1000,15,10
Defective Lead 193,Lead193,Company 1421,(415) 555-2671,,CEO,,200,1,10
Defective Lead 194,Lead194,Company 1652,0091-9876543210,USA,VP Sales,Finance,5,,5
Defective Lead 195,Lead195,Company 363,9876543210,US,VP Sales,Finance,,3,5
Defective Lead 196,Lead196,Company 344,9876543210,,VP Sales,Finance,,,0
Defective Lead 197,Lead197,Company 470,9876543210,USA,Director,Manufacturing,200,90,30
Defective Lead 198,Lead198,Company 62,4155552671,,Intern,Manufacturing,20,30,30
Defective Lead 199,Lead199,Company 1790,+44 7700 900123,US,Director,Finance,50,15,0
Defective Lead 200,Lead200,Company 1297,0044 7700 900123,44,Director,,,7,5
Defective Lead 201,Lead201,Company 528,0091-9876543210,,CTO,,1000,3,5
Defective Lead 202,Lead202,Company 1935,,IND,VP Sales,IT,5,,5
Defective Lead 203,Lead203,Company 1,+44 7700 900123,91,Intern,IT,1000,180,30
Defective Lead 204,Lead204,Company 938,0044 7700 900123,USA,CTO,,5,90,30
Defective Lead 205,Lead205,Company 1406,4155552671,IN,Intern,Manufacturing,20,7,0
Defective Lead 206,Lead206,Company 1207,,91,Manager,Manufacturing,20,15,10
Defective Lead 207,Lead207,Company 1938,+91 98765 43210,IN,,,500,180,
Defective Lead 208,Lead208,Company 127,0044 7700 900123,IN,VP Sales,IT,20,90,10
Defective Lead 209,Lead209,Company 1441,,IN,Manager,,5,30,10
Defective Lead 210,Lead210,Company 638,0091-9876543210,44,CEO,Manufacturing,500,1,
Defective Lead 211,Lead211,Company 321,,India,Intern,,,1,0
Defective Lead 212,Lead212,Company 1259,+91 98765 43210,United States,CEO,Healthcare,50,3,5
Defective Lead 213,Lead213,Company 1076,+44 7700 900123,,VP Sales,Manufacturing,20,30,0
Defective Lead 214,Lead214,Company 477,+91 98765 43210,UK,Manager,Healthcare,5,1,0
Defective Lead 215,Lead215,Company 1733,0091-9876543210,India,Manager,,1000,1,70
Defective Lead 216,Lead216,Company 346,,IND,,Finance,500,15,0
Defective Lead 217,Lead217,Company 198,0044 7700 900123,USA,,,20,15,5
Defective Lead 218,Lead218,Company 1639,0044 7700 900123,,Intern,Manufacturing,50,,5
Defective Lead 219,Lead219,Company 1889,,United States,,Manufacturing,200,180,
Defective Lead 220,Lead220,Company 873,+44 7700 900123,91,Director,Healthcare,,7,90
Defective Lead 221,Lead221,Company 1104,(415) 555-2671,India,Director,Manufacturing,,,30
Defective Lead 222,Lead222,Company 1739,,,,,50,3,30
Defective Lead 223,Lead223,Company 487,,United States,Manager,Manufacturing,,30,
Defective Lead 224,Lead224,Company 1052,,,Director,,500,,30
Defective Lead 225,Lead225,Company 240,0044 7700 900123,India,,,20,1,90
Defective Lead 226,Lead226,Company 1208,,,Director,,500,,
Defective Lead 227,Lead227,Company 1911,(415) 555-2671,United States,Director,Manufacturing,20,30,70
Defective Lead 228,Lead228,Company 757,9876543210,India,VP Sales,Finance,,,0
Defective Lead 229,Lead229,Company 399,0044 7700 900123,,Intern,Finance,500,7,0
Defective Lead 230,Lead230,Company 523,,U.K,CEO,Manufacturing,1000,7,10
Defective Lead 231,Lead231,Company 1612,+91 98765 43210,,,,200,7,5
Defective Lead 232,Lead232,Company 438,0044 7700 900123,,Director,Finance,,7,0
Defective Lead 233,Lead233,Company 170,0091-9876543210,US,,Manufacturing,500,90,90
Defective Lead 234,Lead234,Company 369,(415) 555-2671,India,Director,,20,1,90
Defective Lead 235,Lead235,Company 96,4155552671,,VP Sales,IT,,15,0
Defective Lead 236,Lead236,Company 1955,9876543210,IN,CTO,Finance,5,30,90
Defective Lead 237,Lead237,Company 825,+44 7700 900123,,Intern,Healthcare,200,90,5
Defective Lead 238,Lead238,Company 1352,,India,VP Sales,Healthcare,1000,7,30
Defective Lead 239,Lead239,Company 1086,,US,,Finance,1000,7,90
Defective Lead 240,Lead240,Company 27,,IN,Director,Finance,5,7,0
Defective Lead 241,Lead241,Company 680,+44 7700 900123,United States,Manager,Finance,,3,70
Defective Lead 242,Lead242,Company 754,+91 98765 43210,91,Manager,,500,,30
Defective Lead 243,Lead243,Company 1997,4155552671,India,,,20,3,5
Defective Lead 244,Lead244,Company 652,4155552671,IND,VP Sales,Finance,500,3,5
Defective Lead 245,Lead245,Company 1417,9876543210,UK,,Manufacturing,1000,,70
Defective Lead 246,Lead246,Company 543,(415) 555-2671,44,,IT,50,90,10
Defective Lead 247,Lead247,Company 1393,+44 7700 900123,UK,CTO,,1000,180,70
Defective Lead 248,Lead248,Company 520,,United States,CEO,Finance,500,1,10
Defective Lead 249,Lead249,Company 612,(415) 555-2671,IND,CEO,Healthcare,,180,
Defective Lead 250,Lead250,Company 1170,4155552671,U.K,CEO,,1000,180,0
Defective Lead 251,Lead251,Company 1125,+91 98765 43210,IND,Intern,Healthcare,,3,90
Defective Lead 252,Lead252,Company 1295,0044 7700 900123,USA,Director,,50,15,0
Defective Lead 253,Lead253,Company 866,+91 98765 43210,USA,Director,,50,15,5
Defective Lead 254,Lead254,Company 813,,,,Healthcare,,3,10
Defective Lead 255,Lead255,Company 579,+44 7700 900123,UK,,Manufacturing,,180,0
Defective Lead 256,Lead256,Company 87,+91 98765 43210,44,VP Sales,IT,1000,15,5
Defective Lead 257,Lead257,Company 340,9876543210,IND,Director,,5,90,30
Defective Lead 258,Lead258,Company 1509,,,Intern,Manufacturing,50,3,30
Defective Lead 259,Lead259,Company 1613,0091-9876543210,U.K,Manager,IT,50,30,10
Defective Lead 260,Lead260,Company 1008,0091-9876543210,US,,,5,,
Defective Lead 261,Lead261,Company 446,+91 98765 43210,44,Intern,IT,50,3,10
Defective Lead 262,Lead262,Company 1547,0091-9876543210,India,CTO,,50,,90
Defective Lead 263,Lead263,Company 540,0044 7700 900123,US,VP Sales,,5,90,5
Defective Lead 264,Lead264,Company 1985,(415) 555-2671,IND,Manager,,20,30,5
Defective Lead 265,Lead265,Company 397,9876543210,U.K,Director,Healthcare,,1,
Defective Lead 266,Lead266,Company 791,+44 7700 900123,91,CEO,IT,1000,15,5
Defective Lead 267,Lead267,Company 728,,91,Intern,,,1,0
Defective Lead 268,Lead268,Company 1170,+91 98765 43210,USA,CEO,Finance,200,1,10
Defective Lead 269,Lead269,Company 1372,9876543210,,,Manufacturing,500,1,5
Defective Lead 270,Lead270,Company 575,+91 98765 43210,IND,Intern,Healthcare,200,15,10
Defective Lead 271,Lead271,Company 362,9876543210,India,CEO,Finance,200,3,5
Defective Lead 272,Lead272,Company 1968,0044 7700 900123,,Manager,,500,3,
Defective Lead 273,Lead273,Company 651,,IND,Intern,Finance,200,15,90
Defective Lead 274,Lead274,Company 65,+44 7700 900123,India,,Healthcare,200,,
Defective Lead 275,Lead275,Company 636,9876543210,91,,Manufacturing,,15,
Defective Lead 276,Lead276,Company 1476,+44 7700 900123,91,Manager,,5,,
Defective Lead 277,Lead277,Company 717,9876543210,44,,,,7,
Defective Lead 278,Lead278,Company 12,+91 98765 43210,US,,,,7,90
Defective Lead 279,Lead279,Company 503,0091-9876543210,,VP Sales,,1000,30,90
Defective Lead 280,Lead280,Company 1274,,,Manager,Manufacturing,,90,
Defective Lead 281,Lead281,Company 752,,IND,VP Sales,,,30,0
Defective Lead 282,Lead282,Company 1259,4155552671,,,IT,50,,70
Defective Lead 283,Lead283,Company 83,0091-9876543210,United States,VP Sales,,5,,10
Defective Lead 284,Lead284,Company 919,9876543210,91,CTO,Manufacturing,1000,,
Defective Lead 285,Lead285,Company 1998,,USA,Director,Manufacturing,500,3,0
Defective Lead 286,Lead286,Company 1610,+44 7700 900123,US,,Finance,1000,3,0
Defective Lead 287,Lead287,Company 805,,USA,Intern,Manufacturing,5,,70
Defective Lead 288,Lead288,Company 611,4155552671,IND,Manager,,200,90,30
Defective Lead 289,Lead289,Company 1769,(415) 555-2671,IND,Manager,Finance,,1,30
Defective Lead 290,Lead290,Company 179,9876543210,,Intern,Healthcare,200,7,30
Defective Lead 291,Lead291,Company 371,9876543210,U.K,Manager,Manufacturing,50,7,5
Defective Lead 292,Lead292,Company 1747,4155552671,US,,Manufacturing,20,,
Defective Lead 293,Lead293,Company 558,,,CEO,,20,7,10
Defective Lead 294,Lead294,Company 1678,(415) 555-2671,IN,VP Sales,Manufacturing,500,1,10
Defective Lead 295,Lead295,Company 1843,+44 7700 900123,USA,,,200,,
Defective Lead 296,Lead296,Company 180,,U.K,CTO,,200,1,
Defective Lead 297,Lead297,Company 1125,4155552671,,CEO,Healthcare,200,180,70
Defective Lead 298,Lead298,Company 1690,,USA,,Finance,50,3,0
Defective Lead 299,Lead299,Company 1457,9876543210,India,Intern,Finance,5,15,5
Defective Lead 300,Lead300,Company 1222,4155552671,IN,Intern,,1000,180,90
Defective Lead 301,Lead301,Company 848,,44,CTO,,500,15,10
Defective Lead 302,Lead302,Company 1692,4155552671,44,CTO,Manufacturing,5,,90
Defective Lead 303,Lead303,Company 659,0044 7700 900123,India,Intern,IT,,1,70
Defective Lead 304,Lead304,Company 1349,+44 7700 900123,91,Intern,,20,,70
Defective Lead 305,Lead305,Company 962,0091-9876543210,,Intern,,,,10
Defective Lead 306,Lead306,Company 102,+44 7700 900123,91,,,,7,70
Defective Lead 307,Lead307,Company 468,+44 7700 900123,UK,Director,IT,50,15,
Defective Lead 308,Lead308,Company 266,9876543210,,Intern,,500,30,90
Defective Lead 309,Lead309,Company 1062,0044 7700 900123,91,,Manufacturing,,7,30
Defective Lead 310,Lead310,Company 1013,+91 98765 43210,IND,VP Sales,Healthcare,500,180,90
Defective Lead 311,Lead311,Company 1007,(415) 555-2671,India,CTO,Manufacturing,500,90,5
Defective Lead 312,Lead312,Company 209,+91 98765 43210,US,Intern,Finance,200,90,90
Defective Lead 313,Lead313,Company 173,+44 7700 900123,44,CEO,Manufacturing,5,1,5
Defective Lead 314,Lead314,Company 407,4155552671,IND,Director,Manufacturing,,1,0
Defective Lead 315,Lead315,Company 434,0044 7700 900123,USA,CEO,Healthcare,500,30,0
Defective Lead 316,Lead316,Company 1291,0044 7700 900123,IND,CTO,,20,1,90
Defective Lead 317,Lead317,Company 466,+44 7700 900123,US,Manager,Healthcare,5,30,
Defective Lead 318,Lead318,Company 953,0044 7700 900123,IND,Director,,200,3,
Defective Lead 319,Lead319,Company 548,9876543210,US,Intern,Finance,5,15,10
Defective Lead 320,Lead320,Company 1465,9876543210,IN,CTO,IT,20,15,30
Defective Lead 321,Lead321,Company 177,(415) 555-2671,United States,VP Sales,,1000,7,30
Defective Lead 322,Lead322,Company 1186,9876543210,,Intern,Finance,,30,30
Defective Lead 323,Lead323,Company 1606,(415) 555-2671,U.K,Manager,,1000,30,10
Defective Lead 324,Lead324,Company 1162,(415) 555-2671,44,Director,IT,,90,90
Defective Lead 325,Lead325,Company 89,(415) 555-2671,44,,Manufacturing,50,30,5
Defective Lead 326,Lead326,Company 1485,4155552671,US,,,,180,10
Defective Lead 327,Lead327,Company 296,4155552671,U.K,,,200,,10
Defective Lead 328,Lead328,Company 1834,9876543210,USA,Director,,20,180,0
Defective Lead 329,Lead329,Company 1119,+91 98765 43210,,CEO,,500,,5
Defective Lead 330,Lead330,Company 1751,,91,Manager,,1000,90,30
Defective Lead 331,Lead331,Company 286,+44 7700 900123,US,,Healthcare,20,90,30
Defective Lead 332,Lead332,Company 753,0044 7700 900123,,,IT,1000,7,
Defective Lead 333,Lead333,Company 282,,IN,Intern,Healthcare,20,7,30
Defective Lead 334,Lead334,Company 947,9876543210,United States,Intern,Healthcare,5,30,
Defective Lead 335,Lead335,Company 982,0091-9876543210,UK,VP Sales,Manufacturing,200,3,90
Defective Lead 336,Lead336,Company 1547,9876543210,United States,CEO,Manufacturing,200,180,70
Defective Lead 337,Lead337,Company 1186,0091-9876543210,,,Finance,20,90,5
Defective Lead 338,Lead338,Company 343,,United States,VP Sales,IT,20,30,30
Defective Lead 339,Lead339,Company 280,,US,CTO,,200,180,70
